run_id,config_name,total_ram_mb,cpu_cores,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,num_layers,hidden_units,gamma,strength,time_horizon,summary_freq,keep_checkpoints,max_steps,cpu_avg_unity,cpu_peak_unity,ram_avg_unity,ram_peak_unity,cpu_avg_python,cpu_peak_python,ram_avg_python,ram_peak_python,duration_sec
run_1764186297,config_0.yaml,11700.625,6,200,8289,0.0003,0.01,0.3,0.99,1,3,309,0.999,0.5,23,818,5,50000,27.198717948717977,87.7,153.62850560897436,158.890625,277.2102564102563,301.4,511.33433493589746,527.90625,38.60017395019531
run_1764186342,config_100.yaml,11700.625,6,855,12489,0.0003,0.01,0.3,0.99,1,3,389,0.999,0.5,120,3786,5,50000,29.74074074074077,67.9,152.31838348765433,162.3359375,280.19382716049387,302.4,556.1804108796297,594.12109375,40.10261654853821
run_1764186404,config_101.yaml,11700.625,6,865,7025,0.0003,0.01,0.3,0.99,7,2,299,0.999,0.5,105,2784,5,50000,19.843965517241397,47.9,157.89975080818965,161.27734375,270.44655172413803,301.6,534.0194302262931,547.93359375,57.6442654132843
run_1764186497,config_102.yaml,11700.625,6,647,7694,0.0003,0.01,0.3,0.99,9,4,351,0.999,0.5,29,3518,5,50000,13.598863636363653,51.9,159.6613103693182,161.35546875,278.6625000000005,302.1,554.2052556818181,566.90625,87.72031497955322
run_1764186563,config_103.yaml,11700.625,6,899,3903,0.0003,0.01,0.3,0.99,10,1,342,0.999,0.5,89,3181,5,50000,18.279032258064532,89.9,159.1025390625,161.27734375,280.46935483870993,301.4,515.3926726310484,525.890625,61.658079624176025
run_1764186628,config_104.yaml,11700.625,6,407,9085,0.0003,0.01,0.3,0.99,5,3,230,0.999,0.5,101,2538,5,50000,22.847933884297547,85.8,159.0497804752066,161.23828125,271.8793388429753,302.7,520.1869834710744,533.87890625,60.19825839996338
run_1764186691,config_105.yaml,11700.625,6,191,12130,0.0003,0.01,0.3,0.99,8,1,78,0.999,0.5,46,4409,5,50000,19.57043478260871,71.8,155.7126698369565,159.08984375,258.83565217391305,303.0,513.3872961956522,523.9296875,57.162476539611816
run_1764186762,config_106.yaml,11700.625,6,476,9154,0.0003,0.01,0.3,0.99,8,2,211,0.999,0.5,17,4302,5,50000,17.356716417910462,63.5,158.19787779850745,164.41015625,267.07985074626873,301.8,516.4260436100747,531.890625,66.68250751495361
run_1764186824,config_107.yaml,11700.625,6,770,4806,0.0003,0.01,0.3,0.99,9,3,68,0.999,0.5,110,4521,5,50000,19.45175438596493,45.9,159.25325520833334,165.765625,274.7780701754388,302.1,510.65463952850877,520.3671875,56.65714073181152
run_1764186891,config_108.yaml,11700.625,6,964,7383,0.0003,0.01,0.3,0.99,9,3,192,0.999,0.5,60,4376,5,50000,17.36320000000002,47.9,158.02190625,161.5546875,268.27280000000013,303.4,531.828875,547.4765625,62.15838694572449
run_1764186946,config_109.yaml,11700.625,6,1013,13471,0.0003,0.01,0.3,0.99,4,2,406,0.999,0.5,92,1935,5,50000,23.31683168316834,47.9,157.18107982673268,161.0625,270.1772277227724,301.4,551.8316058168317,577.15234375,50.13063716888428
run_1764187035,config_10.yaml,11700.625,6,352,15549,0.0003,0.01,0.3,0.99,9,3,316,0.999,0.5,48,1218,5,50000,13.852071005917177,85.8,158.96657729289942,161.3828125,260.242603550296,303.1,544.7082562869823,559.01171875,84.21595311164856
run_1764187087,config_110.yaml,11700.625,6,953,12540,0.0003,0.01,0.3,0.99,3,3,380,0.999,0.5,61,3944,5,50000,24.276842105263178,53.9,156.97919407894736,165.734375,273.4589473684211,303.3,558.5090460526316,588.234375,47.1348237991333
run_1764187132,config_111.yaml,11700.625,6,968,2806,0.0003,0.01,0.3,0.99,3,3,117,0.999,0.5,83,3984,5,50000,25.05731707317075,45.9,158.33803353658536,163.12109375,283.5500000000001,301.4,514.0529725609756,527.6328125,40.594873905181885
