seed,cpu_physical_cores,cpu_logical_cores,cpu_clock_ghz,ram_mb,avg_cpu_usage,avg_ram_usage,peak_cpu_usage,peak_ram_usage,learning_rate,batch_size,buffer_size,hidden_units,num_layers,gamma,strength,keep_checkpoints,max_steps,time_horizon,summary_freq,buffer_init_steps,tau,steps_per_update,init_entcoef,reward_signal_steps_per_update,beta,epsilon,lambd,num_epoch,train_duration_s,final_mean_reward,final_std_reward,steps_to_convergence,algo_sac,os_name_Windows,os_name_macOS,time_to_convergence,converged
0.0,8,8,3.2,8192.0,19.1,602.72,19.94,1168.16,0.0003,32.0,426208.0,91.0,2.0,0.99,1.0,5.0,2000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,291.528,1.29,0.779,0.0,False,False,True,-1.0,0
0.0,10,10,0.0,16384.0,17.6,1233.96,21.28,1515.48,0.0003,32.0,348160.0,99.0,1.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,1120.653,100.0,0.0,2920000.0,False,False,True,1115.124,1
0.0,10,10,0.0,16384.0,19.1,1060.75,22.28,1301.09,0.0003,32.0,258496.0,108.0,2.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,2262.819,100.0,0.0,1890000.0,False,False,True,1801.147,1
0.0,10,10,0.0,16384.0,17.69,745.18,19.24,761.5,0.0003,32.0,48768.0,104.0,3.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,180.598,100.0,0.0,440000.0,False,False,True,175.191,1
0.0,8,8,3.2,8192.0,19.45,422.89,20.93,716.83,0.0003,32.0,282624.0,122.0,1.0,0.99,1.0,5.0,2000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,1585.613,1.175,0.814,0.0,False,False,True,-1.0,0
0.0,10,10,0.0,16384.0,17.7,1112.43,19.81,1374.56,0.0003,32.0,322752.0,116.0,2.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,835.772,100.0,0.0,0.0,False,False,True,-1.0,0
0.0,10,10,0.0,16384.0,17.56,921.73,20.26,1019.19,0.0003,32.0,160640.0,68.0,2.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,449.003,100.0,0.0,1120000.0,False,False,True,426.454,1
0.0,10,10,0.0,16384.0,17.03,1049.23,19.49,1242.17,0.0003,32.0,247520.0,66.0,1.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,674.104,100.0,0.0,1770000.0,False,False,True,668.599,1
0.0,10,10,0.0,16384.0,17.85,1146.97,23.42,1455.67,0.0003,32.0,349280.0,104.0,3.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,947.592,99.022,2.766,2200000.0,False,False,True,887.34,1
0.0,8,8,3.2,8192.0,19.65,433.07,20.98,823.89,0.0003,32.0,231008.0,115.0,2.0,0.99,1.0,5.0,2000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,475.33,1.788,1.215,0.0,False,False,True,-1.0,0
