run_id,machine_id,run_log_file,algo,seed,env_name,os_name,cpu_physical_cores,cpu_logical_cores,cpu_clock_ghz,ram_mb,avg_cpu_usage,avg_ram_usage,peak_cpu_usage,peak_ram_usage,learning_rate,learning_rate_schedule,batch_size,buffer_size,normalize,hidden_units,num_layers,vis_encode_type,gamma,strength,keep_checkpoints,max_steps,time_horizon,summary_freq,buffer_init_steps,tau,steps_per_update,save_replay_buffer,init_entcoef,reward_signal_steps_per_update,beta,epsilon,lambd,num_epoch,train_duration_s,final_mean_reward,final_std_reward,time_to_convergence,steps_to_convergence
filippomorini_macOS_ppo_02bc0efd36,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_02bc0efd36\run_logs\run_log.csv,ppo,NA,3DBall,macOS,8,8,3.2,8192.0,19.1,602.72,19.94,1168.16,0.0003,linear,32,426208,False,91,2,simple,0.99,1.0,5,2000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,291.528,1.29,0.779,NA,NA
filippomorini_macOS_ppo_0403f81c3f,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_0403f81c3f\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.6,1233.96,21.28,1515.48,0.0003,linear,32,348160,False,99,1,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,1120.653,100.0,0.0,1115.124,2920000
filippomorini_macOS_ppo_0d1cff1019,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_0d1cff1019\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,19.1,1060.75,22.28,1301.09,0.0003,linear,32,258496,False,108,2,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,2262.819,100.0,0.0,1801.147,1890000
filippomorini_macOS_ppo_0d9562ddff,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_0d9562ddff\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.69,745.18,19.24,761.5,0.0003,linear,32,48768,False,104,3,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,180.598,100.0,0.0,175.191,440000
filippomorini_macOS_ppo_0e907dd758,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_0e907dd758\run_logs\run_log.csv,ppo,NA,3DBall,macOS,8,8,3.2,8192.0,19.45,422.89,20.93,716.83,0.0003,linear,32,282624,False,122,1,simple,0.99,1.0,5,2000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,1585.613,1.175,0.814,NA,NA
filippomorini_macOS_ppo_16cebf55fb,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_16cebf55fb\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.7,1112.43,19.81,1374.56,0.0003,linear,32,322752,False,116,2,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,835.772,100.0,0.0,NA,NA
filippomorini_macOS_ppo_1991e1400e,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_1991e1400e\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.56,921.73,20.26,1019.19,0.0003,linear,32,160640,False,68,2,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,449.003,100.0,0.0,426.454,1120000
filippomorini_macOS_ppo_1b1f76ea35,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_1b1f76ea35\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.03,1049.23,19.49,1242.17,0.0003,linear,32,247520,False,66,1,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,674.104,100.0,0.0,668.599,1770000
filippomorini_macOS_ppo_1d3f2874bc,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_1d3f2874bc\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.85,1146.97,23.42,1455.67,0.0003,linear,32,349280,False,104,3,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,947.592,99.022,2.766,887.34,2200000
filippomorini_macOS_ppo_1fb547da83,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_1fb547da83\run_logs\run_log.csv,ppo,NA,3DBall,macOS,8,8,3.2,8192.0,19.65,433.07,20.98,823.89,0.0003,linear,32,231008,False,115,2,simple,0.99,1.0,5,2000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,475.33,1.788,1.215,NA,NA
filippomorini_macOS_ppo_20d7b1556d,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_20d7b1556d\run_logs\run_log.csv,ppo,NA,3DBall,macOS,8,8,3.2,8192.0,19.14,408.29,24.62,750.19,0.0003,linear,32,202080,False,98,2,simple,0.99,1.0,5,2000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,463.412,1.666,1.136,NA,NA
filippomorini_macOS_ppo_22626d677e,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_22626d677e\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.6,977.03,19.11,1097.7,0.0003,linear,32,190848,False,68,2,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,558.648,100.0,0.0,553.256,1460000
filippomorini_macOS_ppo_27a587c26c,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_27a587c26c\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.5,1002.83,23.54,1144.38,0.0003,linear,32,204800,False,105,2,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,587.33,100.0,0.0,581.754,1460000
filippomorini_macOS_ppo_36bceb535d,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_36bceb535d\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.5,1178.14,21.47,1466.84,0.0003,linear,32,333376,False,109,3,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,974.514,100.0,0.0,928.086,2320000
filippomorini_macOS_ppo_37d526c3f7,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_37d526c3f7\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.72,921.68,20.07,1034.58,0.0003,linear,32,158432,False,104,2,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,397.296,100.0,0.0,380.995,980000
filippomorini_macOS_ppo_37eebd28d7,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_37eebd28d7\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.67,1302.71,20.73,1693.22,0.0003,linear,32,436928,False,87,1,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,1216.595,100.0,0.0,1211.067,3230000
filippomorini_macOS_ppo_39f68c282a,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_39f68c282a\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.42,711.35,19.31,718.0,0.0003,linear,32,29664,False,120,1,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,131.72,100.0,0.0,126.252,330000
filippomorini_macOS_ppo_3e37ab59b4,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_3e37ab59b4\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.16,1007.61,21.97,1161.2,0.0003,linear,32,221056,False,83,2,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,636.622,100.0,0.0,631.166,1610000
